fy,measure,amount_usd,as_of_date,source_doc,source_url,notes
34,spent,34925391.56,2024-09-30,"2023-2024 EFA Report (OSCPE), Table 3 p22 and Fiscal Impact p23",https://dese.ade.arkansas.gov/Files/2023_2024_EFA_Report_OSCPE.pdf,"Original reported total program cost (all service-provider categories, incl. $838,893.51 ClassWallet processing fee)."
34,spent,37300000,2025-10-01,"2024-25 Arkansas Education Freedom Accounts Program Annual Report, Fiscal Impact p25",https://dese.ade.arkansas.gov/Files/2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf,"Restated fy34 total per footnote 6: 'higher than is reflected in the total in Table 3 because it captures program costs that were not part of the transactions data.' The fy34 report's own $34,925,391.56 is the itemized, contemporaneous figure."
35,spent,93800000,2025-10-01,"2024-25 Arkansas Education Freedom Accounts Program Annual Report, Fiscal Impact p25",https://dese.ade.arkansas.gov/Files/2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf,"Total EFA program cost 2024-25, without adjusting for 'switcher' savings (report separately estimates net cost $71.8-81.6M)."
36,appropriated,277487318,2025-04-22,"Act 1010 of 2025 (SB93), Section 24 (APPROPRIATION - EDUCATIONAL FREEDOM ACCOUNTS)",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=1010.pdf&ddBienniumSession=2025%2F2025R,"Base FY2025-26 appropriation ceiling payable from the Arkansas Children's Educational Freedom Account Fund. Approved with emergency clause, effective 2025-07-01."
36,reserve,90000000,2025-04-22,"Act 1017 of 2025 (SB636), Section 3(a)(3) (Children's Educational Freedom Account Set-Aside)",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=1017.pdf&ddBienniumSession=2025%2F2025R,"Authorization ceiling ('in a sum not to exceed $90,000,000') for transfers from the General Revenue Allotment Reserve Fund to the EFA Fund; this is a ceiling, not itself a transfer."
36,reserve,90000000,2025-06-20,"ALC-PEER Report, Exhibit F.11 (6-17-2025), Item E.2.a; approved by full ALC 2025-06-20 per ALC Minutes of June 20, 2025",https://arkleg.state.ar.us/Home/FTPDocument?path=/Assembly/Meeting+Attachments/000/27524/Exhibit+F.11+ALC+PEER+Report+6-17-2025.pdf,"PEER Subcommittee/ALC approval to actually transfer the full $90,000,000 reserve set-aside (authorized by Act 1017) to the EFA Fund for FY2026."
36,supplemental,32000000,2026-01-16,"ALC-PEER Report, Exhibit F.11 (1-13-2026), Item A.1 (Various Temporary Appropriation Requests)",https://www.arkleg.state.ar.us/Home/FTPDocument?path=/Assembly/Meeting+Attachments/000/27768/Exhibit+F.11+-+ALC-PEER+Report+1-13-2026.pdf,"Temporary appropriation increase approved by full ALC 2026-01-16 (PEER Subcommittee met 2026-01-13). Raises the FY2026 appropriation ceiling from $277,487,318 to $309,487,318."
36,reserve,32000000,2026-01-16,"ALC-PEER Report, Exhibit F.11 (1-13-2026), Item C.1 (Restricted Reserve Fund Transfer Requests)",https://www.arkleg.state.ar.us/Home/FTPDocument?path=/Assembly/Meeting+Attachments/000/27768/Exhibit+F.11+-+ALC-PEER+Report+1-13-2026.pdf,"Matching Restricted Reserve Fund transfer request approved alongside the $32,000,000 temporary appropriation above."
37,requested,122000000,2026-03-03,"Governor Sanders' FY2027 Balanced Budget Letter to the General Assembly",https://governor.arkansas.gov/wp-content/uploads/2026-Budget-Letter.pdf,"Letter states: 'This budget provides $122 million in additional funding for the program, along with a $70 million set aside for future growth.' Framed as an increase over the prior general-revenue base; the letter does not itself restate that base figure as a dollar amount."
37,requested,70000000,2026-03-03,"Governor Sanders' FY2027 Balanced Budget Letter to the General Assembly",https://governor.arkansas.gov/wp-content/uploads/2026-Budget-Letter.pdf,"Proposed reserve set-aside 'for future growth' of the program, requested in addition to the $122M base increase."
37,appropriated,309487318,2026-05-01,"Act 156 of the 2026 Fiscal Session (HB1005), Section 23 (APPROPRIATION - EDUCATIONAL FREEDOM ACCOUNTS)",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2026F%2FPublic%2F&file=156.pdf&ddBienniumSession=2025%2F2026F,"Enacted FY2026-27 base appropriation ceiling, payable from the Arkansas Children's Educational Freedom Account Fund. Numerically equal to FY2026's post-supplemental total ($277,487,318 + $32,000,000)."
37,reserve,70000000,2026-04-29,"Act 143 of the 2026 Fiscal Session (HB1100)",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2026F%2FPublic%2F&file=143.pdf&ddBienniumSession=2025%2F2026F,"Transfers $70,000,000 from the General Revenue Allotment Reserve Fund to the Children's Educational Freedom Account Set-Aside in the Restricted Reserve Fund, 'in addition to those remaining balances currently available' under Act 1017 of 2025. Unobligated balance reverts to the General Revenue Allotment Reserve Fund on 2027-07-01."
