efa_fy,school_year,instrument,avg_math_percentile,avg_reading_percentile,test_completions,source_table,source_file
35,2024-25,NWEA Measure of Academic Progress (MAP),58,60,5317,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Iowa Tests of Basic Skills (ITBS),62,64,2380,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Stanford Achievement Test (Stanford 10),45,49,1107,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Renaissance Star Assessments,62,64,638,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Comprehensive Testing Program (CTP),59,61,494,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,ACT,59,64,455,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Thrive Academics Performance Series,69,68,453,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,PSAT,47,56,404,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,PreACT,48,55,292,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Kaufman Test of Educational Achievement (KTEA-III),32,25,252,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Classic Learning Test,49,52,181,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,TerraNova,63,55,105,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,i-Ready Assessments,64,60,57,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Wide Range Achievement Test (WRAT4),44,55,35,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Educational Development Series (EDSERIES),41,55,27,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,SAT,58,69,11,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Edmentum Exact Path,62,75,10,Table 8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
