efa_fy,school_year,school_name,math_percentile,ela_percentile,source_file
35,2024-25,Abundant Life Christian Academy,41,53,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Academy of Excellence,39,49,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,ACCESS Schools,18,25,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Agape Academy,48,45,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Ambassador Baptist Academy,44,50,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,ANH Montessori School,46,45,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Anthem Classical Academy,76,79,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Apostolic Christian Academy (Magnolia),,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Arkansas Christian Academy,59,60,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Arrows Academy,19,54,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Baptist Prep,60,61,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Baseline Bilingual Elementary School,83,95,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Batesville Montessori School,30,28,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Bentonville Christian Academy,43,51,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Blessed Sacrament Catholic School,69,72,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Cabot Christian School,60,43,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Calvary Academy,34,41,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Calvary Christian Academy (Berryville),46,58,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Calvary Christian Academy (Hot Springs),45,54,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Calvary Christian School,37,56,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Catholic High School,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Central Arkansas Christian (CAC),64,66,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Central Arkansas Montessori (North Little Rock),42,41,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Central Christian Academy,73,58,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Chenal Valley Montessori School,40,51,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
