measure,2023-24,2024-25,2025-26,2026-27
Applications received,published,published,published,absent
Approved accounts,published,published,published,obtained
Active participants (year end),published,published,absent,absent
Eligibility category shares,published,published,absent,absent
Previous school status,published,published,absent,absent
Private / homeschool split,absent,published,absent,obtained
"Participating schools, named",published,published,absent,absent
Per-school participant count,published,published,absent,absent
Per-school share of enrollment,published,published,absent,absent
Per-school retention,published,published,published,absent
Statewide retention,published,published,published,absent
Spending by category,partial,published,absent,absent
Spending by sector,absent,published,absent,absent
Named recipients of funds,partial,partial,absent,absent
Per-school dollars,absent,partial,absent,absent
"Assessment, statewide",absent,published,absent,absent
Assessment by instrument,absent,published,absent,absent
Assessment by school,absent,published,absent,absent
State test (ATLAS) results,absent,partial,absent,absent
Award amount per student,published,published,published,published
Appropriation,published,published,conflict,published
Actual spend,conflict,published,absent,absent
Within-year timing,absent,absent,absent,absent
Participant demographics,absent,absent,absent,absent
Tuition charged by schools,absent,absent,absent,obtained
Schools applying to participate,absent,absent,absent,obtained
