school_year,home_schooled_students
1997-1998,9096
1998-1999,9252
1999-2000,11038
2000-2001,11871
2001-2002,12474
2002-2003,12497
2003-2004,13163
2004-2005,13973
2005-2006,13814
2006-2007,15012
2007-2008,15660
2008-2009,16061
2009-2010,15791
2010-2011,16303
2011-2012,16405
2012-2013,17215
2013-2014,17299
2014-2015,18557
2015-2016,19229
2016-2017,19520
2017-2018,20331
2018-2019,21959
2019-2020,22249
2020-2021,30267
2021-2022,30205
2022-2023,29786
2023-2024,32767
2024-2025,35419
2025-2026,40470
