efa_fy,school_name,city,efa_enrollment,total_enrollment,efa_pct_of_total,source_file
34,Abundant Life Christian Academy,Sherwood,114,329,33%,2023_2024_EFA_Report_OSCPE.pdf
34,Academy of Excellence,Eureka Springs,7,36,19%,2023_2024_EFA_Report_OSCPE.pdf
34,Access Academy,Little Rock,106,113,94%,2023_2024_EFA_Report_OSCPE.pdf
34,Agape Academy,Little Rock,14,18,78%,2023_2024_EFA_Report_OSCPE.pdf
34,Anthem Classical Academy,Fayetteville,25,78,32%,2023_2024_EFA_Report_OSCPE.pdf
34,Arkansas Christian Academy,Bryant,116,321,36%,2023_2024_EFA_Report_OSCPE.pdf
34,Arrows Academy,Paragould,22,30,73%,2023_2024_EFA_Report_OSCPE.pdf
34,Avilla Christian Academy,Alexander,17,25,68%,2023_2024_EFA_Report_OSCPE.pdf
34,Baptist Preparatory School,Little Rock,198,509,39%,2023_2024_EFA_Report_OSCPE.pdf
34,Baseline Bilingual School,Little Rock,6,50,12%,2023_2024_EFA_Report_OSCPE.pdf
34,Bentonville Christian Academy,Bentonville,27,81,33%,2023_2024_EFA_Report_OSCPE.pdf
34,Blessed Sacrament Catholic School,Jonesboro,26,137,19%,2023_2024_EFA_Report_OSCPE.pdf
34,Cabot Christian School,Cabot,5,12,42%,2023_2024_EFA_Report_OSCPE.pdf
34,Calvary Academy,North Little Rock,134,382,35%,2023_2024_EFA_Report_OSCPE.pdf
34,Calvary Christian School,Forrest City,18,54,33%,2023_2024_EFA_Report_OSCPE.pdf
34,Catholic High School For Boys,Little Rock,106,708,15%,2023_2024_EFA_Report_OSCPE.pdf
34,Central Arkansas Christian School (All Campuses),,252,792,32%,2023_2024_EFA_Report_OSCPE.pdf
34,Central Arkansas Montessori,Little Rock,36,39,92%,2023_2024_EFA_Report_OSCPE.pdf
34,Christ Lutheran,Little Rock,52,124,42%,2023_2024_EFA_Report_OSCPE.pdf
34,Christ the King School,Fort Smith,64,181,35%,2023_2024_EFA_Report_OSCPE.pdf
34,Christ the King School,Little Rock,197,594,33%,2023_2024_EFA_Report_OSCPE.pdf
34,Clear Spring School,Eureka Springs,5,61,8%,2023_2024_EFA_Report_OSCPE.pdf
34,Clover Community School,Bentonville,10,13,77%,2023_2024_EFA_Report_OSCPE.pdf
34,Columbia Christian School,Magnolia,38,216,18%,2023_2024_EFA_Report_OSCPE.pdf
34,Community Christian School,Siloam Springs,2,26,8%,2023_2024_EFA_Report_OSCPE.pdf
34,Compass Academy,Conway,112,121,93%,2023_2024_EFA_Report_OSCPE.pdf
34,Cornerstone Christian Academy,Tillar,79,150,53%,2023_2024_EFA_Report_OSCPE.pdf
34,Cornerstone Montessori Christian Academy,Bryant,4,5,80%,2023_2024_EFA_Report_OSCPE.pdf
34,CrossPointe Preparatory School,Searcy,18,115,16%,2023_2024_EFA_Report_OSCPE.pdf
34,Easterseals Arkansas – The Academy at Riverdale,Little Rock,75,75,100%,2023_2024_EFA_Report_OSCPE.pdf
34,Eighty-Twenty Learning for ASD,Jonesboro,20,23,87%,2023_2024_EFA_Report_OSCPE.pdf
34,Episcopal Collegiate School,Little Rock,194,812,24%,2023_2024_EFA_Report_OSCPE.pdf
34,Fayetteville Christian School,Fayetteville,37,136,27%,2023_2024_EFA_Report_OSCPE.pdf
34,Fayetteville Nature School,Fayetteville,11,32,34%,2023_2024_EFA_Report_OSCPE.pdf
34,First Academy,"Rogers, AR",40,217,18%,2023_2024_EFA_Report_OSCPE.pdf
34,First Lutheran School,Fort Smith,55,105,52%,2023_2024_EFA_Report_OSCPE.pdf
34,Friendship Lab School for Dyslexia,Little Rock,39,39,100%,2023_2024_EFA_Report_OSCPE.pdf
34,Ft. Smith Montessori,Fort Smith,18,78,23%,2023_2024_EFA_Report_OSCPE.pdf
34,Harding Academy,Searcy,106,628,17%,2023_2024_EFA_Report_OSCPE.pdf
34,Harvest Time Christian Academy,Fort Smith,31,100,31%,2023_2024_EFA_Report_OSCPE.pdf
34,Holy Rosary Catholic School,Stuttgart,9,53,17%,2023_2024_EFA_Report_OSCPE.pdf
34,Immaculate Conception Catholic School,North Little Rock,149,323,46%,2023_2024_EFA_Report_OSCPE.pdf
34,Immaculate Conception School,Fort Smith,72,221,33%,2023_2024_EFA_Report_OSCPE.pdf
34,Immaculate Heart of Mary School,North Little Rock,26,101,26%,2023_2024_EFA_Report_OSCPE.pdf
34,Jacksonville Christian Academy,Jacksonville,20,142,14%,2023_2024_EFA_Report_OSCPE.pdf
34,Joshua Academy,Van Buren,33,38,87%,2023_2024_EFA_Report_OSCPE.pdf
34,Julian and Jaxon Academy,Little Rock,3,3,100%,2023_2024_EFA_Report_OSCPE.pdf
34,Leap Frog Montessori,Siloam Springs,13,21,62%,2023_2024_EFA_Report_OSCPE.pdf
34,Legacy Academy,DeQueen,33,138,24%,2023_2024_EFA_Report_OSCPE.pdf
34,Legacy Academy,Lockesburg,7,150,5%,2023_2024_EFA_Report_OSCPE.pdf
34,Liberty Christian School,Searcy,13,55,24%,2023_2024_EFA_Report_OSCPE.pdf
34,Life Way Christian School,Centerton,114,601,19%,2023_2024_EFA_Report_OSCPE.pdf
34,Little Rock Christian Academy,Little Rock,360,1665,22%,2023_2024_EFA_Report_OSCPE.pdf
34,Madonna Learning Center,"Germantown, Tennessee",1,97,1%,2023_2024_EFA_Report_OSCPE.pdf
34,Maranatha Baptist Christian,Eldorado,10,47,21%,2023_2024_EFA_Report_OSCPE.pdf
