efa_fy,metric,value,source_file
34,total_applicants,6495,2023_2024_EFA_Report_OSCPE.pdf
34,total_approved_applicants,5700,2023_2024_EFA_Report_OSCPE.pdf
34,total_active_participants,5548,2023_2024_EFA_Report_OSCPE.pdf
34,n_schools,97,2023_2024_EFA_Report_OSCPE.pdf
34,avg_pct_efa_of_school_enrollment,39,2023_2024_EFA_Report_OSCPE.pdf
34,pct_eligibility_students_with_disabilities,57,2023_2024_EFA_Report_OSCPE.pdf
34,pct_eligibility_kindergarten,30,2023_2024_EFA_Report_OSCPE.pdf
34,pct_eligibility_foster_care,7,2023_2024_EFA_Report_OSCPE.pdf
34,pct_eligibility_active_military,4,2023_2024_EFA_Report_OSCPE.pdf
34,pct_eligibility_f_rated_school,1,2023_2024_EFA_Report_OSCPE.pdf
34,pct_eligibility_homeless,1,2023_2024_EFA_Report_OSCPE.pdf
34,pct_prior_public_school,18,2023_2024_EFA_Report_OSCPE.pdf
34,pct_prior_not_public_school,82,2023_2024_EFA_Report_OSCPE.pdf
34,total_funding_usd,34925391.56,2023_2024_EFA_Report_OSCPE.pdf
34,pct_funding_private_tuition,93,2023_2024_EFA_Report_OSCPE.pdf
35,total_applicants,18921,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,total_approved_applicants,14457,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,total_participants_with_transaction,14388,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,total_active_participants,14256,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,n_schools,126,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,avg_pct_efa_of_school_enrollment,48,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_sector_private,76,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_sector_homeschool,24,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,n_sector_private_students,10834,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,n_sector_homeschool_students,3422,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_students_with_disabilities,36,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_kindergarten,27,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_active_military,16,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_foster_care,6,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_succeed_program,4,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_d_or_f_rated_school,3,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_law_enforcement,2,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_eligibility_homeless,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_prior_did_not_list,33,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_prior_private_school,25,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_prior_homeschool,17,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_prior_public_school,12,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_prior_prek,10,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_prior_did_not_attend_school,3,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,total_funding_usd,93800000,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,total_funding_private_category_usd,69963350,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,total_funding_homeschool_category_usd,14561519,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,pct_funding_private_tuition,97,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,efa_amount_per_student_usd,6856,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,efa_amount_per_student_succeed_usd,7617,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,n_service_providers_approx,2000,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,net_cost_low_usd,71800000,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,net_cost_high_usd,81600000,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
36,approved_applicants_outlook,46578,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
36,approved_private_schools_outlook,166,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
36,n_service_providers_approx_outlook,2132,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
36,efa_amount_per_student_usd_outlook,6994,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
36,projected_program_cost_usd_outlook,277000000,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
